-7,Vũ Khí,Tiếng Hét Của Rồng,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/4c5eb5c266e8a4dc6c9abcfe58c4557d_4867340351758378032.png,
1006,Nhân Vật,Lisa,,
1014,Nhân Vật,Barbara,,
1015,Nhân Vật,Kaeya,,
1020,Nhân Vật,Razor,,
1021,Nhân Vật,Amber,,
1023,Nhân Vật,Xiangling,,
1024,Nhân Vật,Beidou,,
1025,Nhân Vật,Xingqiu,,
1027,Nhân Vật,Ningguang,,
1031,Nhân Vật,Fischl,,
1032,Nhân Vật,Bennett,,
1034,Nhân Vật,Noelle,,
1036,Nhân Vật,Chongyun,,
1039,Nhân Vật,Diona,,
1043,Nhân Vật,Sucrose,,
1044,Nhân Vật,Xinyan,,
11401,Vũ Khí,Tây Phong Kiếm,,
11402,Vũ Khí,Kiếm Sáo,,
11403,Vũ Khí,Kiếm Tế Lễ,,
11405,Vũ Khí,Tiếng Hét Của Rồng,,
12401,Vũ Khí,Đại Kiếm Tây Phong,,
12402,Vũ Khí,Kiếm Chuông,,
12403,Vũ Khí,Đại Kiếm Tế Lễ,,
12405,Vũ Khí,Vũ Tài,,
12410,Vũ Khí,Thiên Nham Cổ Kiếm,,
13401,Vũ Khí,Tai Ương Của Rồng,,
13406,Vũ Khí,Thương Thiên Nham,,
13407,Vũ Khí,Thương Tây Phong,,
14401,Vũ Khí,Tây Phong Mật Điển,,
14402,Vũ Khí,Chương Nhạc Lang Thang,,
14403,Vũ Khí,Mảnh Chương Tế Lễ,,
14409,Vũ Khí,Chiêu Tâm,,
15401,Vũ Khí,Cung Tây Phong,,
15402,Vũ Khí,Tuyệt Huyền,,
15403,Vũ Khí,Cung Tế Lễ,,
15405,Vũ Khí,Cung Rỉ Sét,,
